DEPTH,BS,CALI,DDEN,DEN,DT,GR,NPHI,PEF,RDEEP,RMED,RSHAL
4624.5,8.5,11.2635,0.0056,2.4526,74.0598,75.5422,0.1218,2.0831,99.5967,46.3053,11.7423
4625,8.5,11.2823,0.0051,2.4589,72.6418,74.3738,0.1111,2.0834,102.9017,48.1828,11.8369
4625.5,8.5,11.3199,0.0067,2.4643,72.3509,68.1195,0.1042,2.0829,95.9645,46.1048,11.6142
4626,8.5,11.3424,0.0075,2.4632,71.7841,58.7874,0.1042,2.0613,91.0076,44.2477,12.5453
4626.5,8.5,11.365,0.0056,2.4503,70.4583,59.3067,0.1051,2.0216,68.0918,35.4004,11.4296
4627,8.5,11.3988,0.0027,2.4321,70.5261,61.5364,0.1071,2.0085,69.2567,36.2074,10.2266
4627.5,8.5,11.4326,0.0032,2.4319,71.0007,68.6767,0.1045,2.0409,87.9501,44.5094,10.93
4628,8.5,11.4439,0.0086,2.4505,71.5654,72.3118,0.107,2.0861,91.2371,46.149,12.833
4628.5,8.5,11.5679,0.0114,2.4645,73.4932,83.4604,0.1125,2.0964,65.4788,35.6075,13.9564
4629,8.5,11.613,0.0098,2.4673,75.2361,90.9456,0.1199,2.0686,57.8295,32.6946,10.5955
4629.5,8.5,11.6356,0.0034,2.4594,76.3092,98.1627,0.1271,2.0449,62.2519,36.5202,10.9498
4630,8.5,11.6919,0.0011,2.4514,76.4308,96.8807,0.1368,2.0373,49.1518,32.3319,11.1338
4630.5,8.5,11.7709,0.0006,2.4331,76.7318,95.7569,0.1445,2.0397,40.5957,28.9527,10.8322
4631,8.5,11.7822,-0.0005,2.4024,77.8432,88.6696,0.1434,2.0371,34.8892,26.6959,8.7905
4631.5,8.5,11.8273,-0.0022,2.3839,78.0543,79.5819,0.1412,2.035,28.6358,23.0079,7.7163
4632,8.5,11.8273,-0.0027,2.3862,78.6241,68.1574,0.1503,2.0269,26.3313,21.6152,6.75
4632.5,8.5,11.8611,-0.0008,2.4105,78.8317,62.823,0.1503,2.016,28.5163,23.7379,6.7366
4633,8.5,11.8611,0.001,2.4367,78.3072,64.6406,0.1457,2.0082,30.9009,26.0869,7.4274
4633.5,8.5,11.8611,0.0016,2.447,77.9033,70.7423,0.1379,2.007,34.2218,28.3687,8.3326
4634,8.5,11.8836,0.0012,2.4398,77.539,71.1113,0.1413,1.991,33.3107,27.8535,8.3924
4634.5,8.5,11.8724,0.0009,2.4285,77.567,68.385,0.1372,1.9675,32.9312,27.1011,8.471
4635,8.5,11.8836,0.0007,2.4277,77.2711,62.2833,0.1405,1.9673,30.9654,25.1708,9.0074
4635.5,8.5,11.9062,0.0001,2.4328,76.6689,67.5083,0.1357,2.0237,32.1514,26.5436,9.2198
4636,8.5,11.94,-0.0002,2.4425,76.5588,75.5398,0.1418,2.0942,37.8355,31.5578,10.0399
4636.5,8.5,11.9626,-0.0002,2.4411,76.7173,89.0415,0.1418,2.147,39.1659,32.7704,10.2331
4637,8.5,11.9513,0.0004,2.4339,77.7743,93.066,0.1446,2.1586,34.4096,29.2388,10.0401
4637.5,8.5,11.9513,0.0001,2.421,78.542,87.1117,0.1471,2.1563,33.2945,27.4724,9.6532
4638,8.5,11.94,-0.0007,2.4153,78.9645,77.7875,0.1475,2.1528,31.432,25.721,8.9734
4638.5,8.5,11.9363,-0.0006,2.4286,78.7432,73.8927,0.1419,2.141,34.3999,28.0886,8.5086
