t,x,y
310,411898.841,4230096.142
370,418883.879,4235701.929
250,394620.064,4252052.142
540,393149.53,4379350.232
150,344805.718,4322825.209
90,334144.345,4390561.807
510,325872.59,4317219.422
50,419802.963,4265132.313
150,363187.395,4373744.445
390,376422.203,4226125.376
230,365577.014,4222388.184
100,418148.612,4390094.658
70,385613.042,4343846.912
150,382120.524,4384255.296
80,336166.329,4239439.121
230,407303.422,4306708.57
720,352893.656,4264431.59
600,410060.674,4213745.928
60,400134.568,4371408.7
1880,323666.788,4296431.293
240,379363.272,4267234.483
870,435243.572,4219818.865
170,447191.663,4222154.609
480,380098.539,4380751.679
30,403443.27,4273540.994
200,326240.223,4340810.444
140,372194.418,4327730.273
200,355467.091,4273073.845
570,408590.139,4294329.123
2130,435427.389,4242709.163
270,416126.627,4278212.484
200,324585.872,4225891.801
140,375319.303,4318620.868
120,441125.709,4340343.295
320,342599.916,4345715.508
210,345540.985,4245979.206
340,375319.303,4332401.763
190,361533.044,4366970.785
310,390024.645,4365569.338
130,388370.294,4326095.252
120,393333.347,4385423.169
50,341497.016,4386123.892
160,355099.457,4365569.338
290,356753.808,4286387.591
90,370172.433,4372810.147
110,340210.298,4350153.423
-10000,417964.795,4317452.996
390,390392.279,4349686.274
1140,320358.086,4272606.696
70,377892.738,4307175.719
140,367047.548,4286154.016
70,321828.62,4240139.844
,,
130,383039.607,4319788.741
190,424214.566,4249482.823
0,333776.711,4307642.868
120,379547.089,4386824.616
330,327343.124,4391028.956
50,377525.104,4371408.7
630,409693.04,4213979.503
120,366679.914,4232198.312
140,457669.219,4325861.677
920,448478.38,4262562.994
180,406384.338,4243176.312
80,434692.122,4268168.781
30,340394.115,4232431.886
200,339475.031,4334270.358
60,339107.398,4367905.083
160,347746.786,4240606.993
100,325872.59,4351087.721
150,431751.053,4288489.761
20,429177.619,4361598.572
0,328813.658,4367204.36
90,322196.254,4345715.508
800,450132.731,4249015.674
100,331938.543,4372109.424
60,380649.989,4279847.505
180,351423.122,4257424.355
-10000,363371.212,4370707.977
180,340577.932,4225658.227
380,427339.451,4292226.953
120,353077.473,4303905.676
1090,410244.49,4211877.332
290,368518.082,4335204.656
30,327710.757,4233599.759
180,421641.131,4353189.891
120,387083.577,4267468.058
100,463551.356,4316051.549
450,347562.969,4210709.46
50,403259.453,4392430.403
510,390576.095,4385656.743
390,417964.795,4268402.356
1980,442596.243,4247614.227
500,416310.444,4264431.59
250,418332.429,4274241.718
1360,448662.197,4259526.526
480,427707.084,4213979.503
230,399583.117,4308110.017
180,376054.57,4289657.633
140,346276.252,4328197.422
400,421457.314,4340810.444
660,411898.841,4254621.462
30,356753.808,4291759.804
260,439655.175,4320489.464
240,345908.618,4216782.396
130,340026.481,4322358.06
110,325872.59,4384722.445
240,428074.718,4239205.546
180,375135.486,4376547.339
330,405097.621,4231731.163
650,410612.124,4287789.037
250,397377.316,4307175.719
310,419619.146,4342445.465
150,329916.559,4341511.167
230,422008.764,4235234.78
450,432853.954,4212578.056
50,363738.846,4354357.763
210,431015.786,4234767.631
110,403259.453,4314650.102
120,322012.437,4248782.1
510,452154.716,4297132.017
740,446456.396,4300635.634
130,342599.916,4320723.039
180,437081.74,4351554.87
560,437449.374,4247147.078
480,335063.428,4220519.588
100,465389.524,4255088.611
210,353628.923,4365335.764
250,370356.25,4349686.274
80,424398.382,4361832.147
330,438736.091,4292694.101
660,387635.027,4231497.589
160,332857.627,4330766.741
50,330835.643,4361832.147
650,456750.135,4256256.483
180,374584.036,4339175.422
230,403259.453,4287555.463
100,435427.389,4341044.018
90,396642.049,4334036.784
280,396274.415,4347116.955
3930,371826.784,4256256.483
130,391311.362,4286854.74
110,403627.086,4315817.975
250,351055.488,4402240.531
250,378995.638,4257891.504
720,390576.095,4354124.189
790,413920.826,4338941.848
200,376238.387,4357861.381
470,320358.086,4271672.399
420,412817.925,4235468.355
590,413737.009,4293394.825
10,417964.795,4378649.509
10,456750.135,4316752.273
70,324953.506,4380518.105
430,376789.837,4383554.573
170,461161.738,4331934.614
190,458772.12,4245278.483
110,390943.729,4272840.271
260,424214.566,4263030.143
990,433221.588,4233366.184
440,427155.634,4233132.61
230,382120.524,4213745.928
150,327159.307,4368839.381
500,397928.766,4243176.312
90,367047.548,4293628.399
40,321460.987,4238271.248
60,347562.969,4357160.657
260,375503.12,4398269.765
430,422376.398,4325394.528
160,387635.027,4262562.994
2200,442963.877,4244811.334
20,449581.281,4334036.784
150,452338.533,4215614.524
-10000,364474.113,4243643.461
260,426420.367,4229161.844
10,399031.667,4272606.696
210,377708.921,4219118.141
50,341680.832,4384021.722
120,430648.153,4238504.823
180,428626.168,4311613.634
9999,350136.404,4251584.994
210,374032.585,4213045.205
50,433405.404,4342912.614
770,335063.428,4268869.505
200,396825.866,4314182.953
190,333041.444,4314883.677
60,342783.733,4392430.403
70,333960.528,4390561.807
290,406935.788,4332868.912
150,329548.925,4284752.569
150,361900.678,4299000.612
790,333041.444,4212344.481
190,332122.36,4402240.531
120,366128.464,4358795.678
190,415758.994,4245278.483
90,462264.639,4299701.336
70,326056.406,4398269.765
160,339842.665,4319088.017
110,399031.667,4316985.847
720,328262.208,4224723.929
370,363003.579,4388693.211
120,341129.382,4396401.169
210,412450.292,4272373.122
60,422927.848,4383788.147
650,441677.159,4314883.677
60,447007.846,4332401.763
20,361349.228,4217015.971
340,324769.689,4255322.185
40,424214.566,4370707.977
150,416126.627,4263263.717
1110,444802.045,4284051.846
180,454728.151,4302971.378
110,325321.139,4366737.211
10,433221.588,4356459.934
20,409509.223,4249249.249
180,374951.669,4213745.928
320,423295.482,4269570.228
70,369437.166,4293394.825
800,357489.075,4232198.312
530,430648.153,4259760.1
370,403259.453,4360197.125
190,366679.914,4270037.377
620,429729.069,4222388.184
340,356386.175,4214213.077
40,379363.272,4360430.7
400,395171.515,4354357.763
530,413920.826,4214213.077
150,363003.579,4335905.38
30,356569.991,4293394.825
210,331938.543,4323525.932
100,383774.875,4291526.229
670,453992.884,4288256.186
260,370172.433,4400605.51
60,385613.042,4333803.209
50,322563.888,4397335.467
280,442963.877,4300869.208
160,428074.718,4260460.824
240,361533.044,4288723.335
40,345908.618,4389627.509
350,438919.908,4322124.486
130,461161.738,4330766.741
150,354915.64,4243409.887
150,350320.221,4303672.102
40,324585.872,4377948.786
340,436530.29,4276577.463
230,422008.764,4288723.335
230,333776.711,4322358.06
720,343151.367,4210475.886
800,345173.351,4225424.652
300,375870.753,4396167.595
230,407854.872,4321890.911
50,346276.252,4387291.765
470,372378.234,4230096.142
2250,378628.005,4248548.525
290,431383.42,4256490.058
590,393333.347,4378649.509
80,375503.12,4281716.101
230,406935.788,4339175.422
490,422744.031,4233599.759
20,342048.466,4390795.382
180,403259.453,4330533.167
200,346827.702,4213045.205
80,336533.963,4345481.933
120,418332.429,4277978.909
170,422192.581,4273307.42
130,366863.731,4300168.485
110,380649.989,4290124.782
210,393700.981,4274708.867
170,352158.389,4289891.208
410,320358.086,4299000.612
100,362452.128,4339642.571
1960,388370.294,4241074.142
100,415023.727,4242709.163
120,390024.645,4282883.973
680,402340.369,4355759.21
-10000,341313.199,4221453.886
50,333592.894,4251351.419
