Northing,Easthing,Elevation
3638818,376022,1056
3653868,364472,1603
3621368,414322,1307
3645068,393222,974
3656168,414972,902
3656968,376422,1368
3631518,385622,1117
3643768,370022,1194
3620368,392222,1302
3626218,416022,1240
3658218,363772,1535
3642118,384422,1018
3641368,400072,971
3632368,409172,1123
3655868,416572,924
3648168,365972,1442
3644968,416822,1008
3660268,370172,1439
3635618,376872,1024
3632018,362172,1095
3663168,385272,1119
3648768,368922,1381
3638868,405272,1047
3663968,368672,1445
3645518,411572,1008
3645068,383572,1078
3663168,398172,991
3638818,394622,1018
3637318,390872,1095
3660068,370022,1430
3636768,396572,1027
3662218,362772,1625
3638968,362372,1586
3646018,406872,970
3648468,411972,971
3659918,398672,978
3643068,397622,961
3630868,376172,1067
3643818,410072,1018
3627218,397422,1154
3626968,409422,1190
3648768,389822,1038
3634168,369472,1030
3631718,385222,1099
3638668,396872,1005
3644468,384472,1060
3661318,412622,852
3660718,415772,880
3644568,377122,1095
3628018,393422,1176
3664318,396472,1038
3657068,361472,1640
3623568,397822,1231
3660818,395322,1057
3641968,380822,1024
3662168,381572,1206
3620918,402472,1259
3651818,385122,1181
3626318,407122,1196
3656918,381022,1217
3627868,363122,1181
3622418,368622,1223
3664718,410222,896
3619668,383872,1288
3654968,390322,1115
3638368,382772,983
3657318,408422,874
3661018,362422,1639
3620618,400622,1234
3634868,402122,1084
3625918,398772,1164
3641268,396422,978
3653118,367972,1638
3627268,373772,1153
3655468,379672,1248
3637918,379172,1011
3659218,415022,882
3638168,411122,1073
3621068,362622,1266
3632268,369722,1061
3655968,377422,1316
3621268,373822,1254
3643018,405822,1004
3653718,378422,1253
3640118,397072,989
3657868,364872,1539
3653668,400772,918
3629068,365722,1133
3659568,409122,894
3629518,367872,1107
3648318,370072,1313
3637168,402222,1061
3647418,409222,975
3644418,384822,1047
3655368,396022,980
3662268,387572,1085
3665368,395472,1081
3619468,369622,1288
3639318,410822,1060
3663518,396022,1033
3657918,379772,1242
3648518,398522,932
3653668,412522,928
3644568,380072,1191
3634468,395872,1057
3647568,369872,1293
3620868,413372,1328
3665718,413322,876
3651168,416072,941
3645118,368722,1242
3657868,393272,1036
3659168,416672,896
3645818,367222,1348
3643718,408172,1007
3629968,399372,1109
3651418,401372,914
3622068,414322,1298
3656318,406272,892
3625468,391522,1193
3638068,389522,1144
3658918,407522,909
3636268,407072,1070
3659968,366322,1517
3632568,392122,1086
3649368,389422,1063
3665818,415922,858
3654268,404622,898
3628818,405972,1173
3646368,399772,930
3653768,394372,1011
3638418,363472,1296
3658368,364872,1519
3620668,395272,1296
3655218,386622,1092
3628168,405222,1178
3651718,366422,1581
3654218,370772,1782
3630768,407172,1142
3653918,376822,1307
3630068,414122,1177
3626618,393222,1166
3632118,406972,1123
3621218,397622,1236
3648768,391522,1012
