,depth,badhole,vsh,comp_ephi,sw,sand,res,pay
902,5051.0,0,0.35820571428571424,0.09656163774891777,0.7863313498015415,0,0,0
903,5051.5,0,0.34280999999999995,0.09823977060606062,0.7352440274449895,0,0,0
904,5052.0,0,0.35660785714285714,0.09731004660173156,0.744647849707982,0,0,0
905,5052.5,0,0.4027778571428572,0.08720024387445888,0.7640020510863114,0,0,0
906,5053.0,0,0.4833907142857143,0.07212859396103893,0.7458959065356995,0,0,0
907,5053.5,0,0.5273457142857143,0.06161325653679656,0.7387936542304978,0,0,0
908,5054.0,0,0.5269807142857142,0.05901667790043293,0.9062958518578441,0,0,0
909,5054.5,0,0.5305321428571429,0.05609775400432891,0.8335452346979504,0,0,0
910,5055.0,0,0.5163528571428572,0.05509784160173156,0.8892227271049887,0,0,0
911,5055.5,0,0.5487485714285714,0.04839549662337662,1.0,0,0,0
912,5056.0,0,0.5268635714285714,0.05164459798701298,0.8372714959608424,0,0,0
913,5056.5,0,0.5036307142857144,0.05304516123376618,0.9359619215982183,0,0,0
914,5057.0,0,0.4431542857142857,0.06264769800865796,0.8502744550016286,0,0,0
915,5057.5,0,0.44868071428571427,0.0584771354761905,0.9448793502131179,0,0,0
916,5058.0,0,0.4315021428571429,0.061311720974026006,0.8760935764059798,0,0,0
917,5058.5,0,0.4497892857142857,0.05594569512987008,1.0,0,0,0
918,5059.0,0,0.4406257142857143,0.057770281991341994,0.8825434162698804,0,0,0
919,5059.5,0,0.45701214285714287,0.057906888549783535,0.8483259036587365,0,0,0
920,5060.0,0,0.4833807142857143,0.061326653658008656,0.8272231771491878,0,0,0
921,5060.5,0,0.49188857142857145,0.06214929722943714,0.708491355244887,0,0,0
922,5061.0,0,0.5336364285714286,0.05371544746753245,0.8740147021080324,0,0,0
923,5061.5,0,0.5087742857142856,0.05268754225108224,0.8263007551997444,0,0,0
924,5062.0,0,0.44840571428571424,0.06105862562770557,0.8156442611173714,0,0,0
925,5062.5,0,0.3931078571428571,0.06707094054112558,0.8065627684228075,0,0,0
926,5063.0,0,0.3705521428571429,0.0686234527922078,0.7304386718987891,0,0,0
927,5063.5,0,0.40822142857142857,0.0615053794372294,0.6889956655554077,0,0,0
928,5064.0,0,0.4372885714285714,0.09317342450216451,0.41282189980609973,0,0,0
929,5064.5,1,0.4513935714285714,0.03957696180170575,0.7897271084704865,0,0,0
930,5065.0,1,0.39488928571428566,0.027939542803837966,1.0,0,0,0
931,5065.5,1,0.2970535714285714,0.02637080090618339,1.0,0,0,0
932,5066.0,1,0.19098928571428572,0.029923403997867786,1.0,0,0,0
933,5066.5,1,0.14971214285714285,0.03660312472281451,0.8435061054815739,1,0,0
934,5067.0,1,0.12584142857142858,0.04013125081023451,0.6389728617307028,1,0,0
935,5067.5,1,0.14541357142857145,0.04282644448827292,0.6027557813042272,1,0,0
936,5068.0,1,0.14466285714285715,0.04066270550106609,0.7206479754441594,1,0,0
937,5068.5,1,0.16711571428571428,0.047459275628997835,0.5942597206602775,0,0,0
938,5069.0,1,0.15281714285714285,0.04105095360341152,0.5523178817245611,0,0,0
939,5069.5,1,0.15711428571428573,0.030688223027718547,0.7087631317327167,0,0,0
940,5070.0,1,0.2414792857142857,0.03770026713219621,0.6719829280015679,0,0,0
941,5070.5,1,0.3552414285714286,0.026919904541577853,1.0,0,0,0
942,5071.0,1,0.5047871428571428,0.029326072857142844,0.9932305263753743,0,0,0
943,5071.5,0,0.5374942857142857,0.022270698614718643,1.0,0,0,0
944,5072.0,0,0.5365757142857143,0.03288900471861469,1.0,0,0,0
945,5072.5,0,0.47147071428571424,0.0550809042640692,0.9291208189871931,0,0,0
946,5073.0,0,0.4330921428571429,0.06003992612554105,0.8156181260196762,0,0,0
947,5073.5,0,0.39558785714285716,0.06584910538961036,0.7096460488023443,0,0,0
948,5074.0,0,0.3664021428571429,0.06623337854978353,0.7766656209300064,0,0,0
949,5074.5,0,0.34591142857142854,0.0733926239826839,0.7620949599631238,0,0,0
950,5075.0,0,0.363565,0.08049868772727273,0.6358617129471493,0,0,0
951,5075.5,1,0.3490542857142857,0.09813765556503204,0.5386676046899279,0,0,0
952,5076.0,1,0.3107014285714286,0.0985562302132196,0.5231929817494123,0,0,0
953,5076.5,1,0.2568857142857143,0.09595786652452025,0.5249062046884917,0,0,0
954,5077.0,1,0.25438142857142854,0.09329235797441364,0.5064512277401367,0,0,0
955,5077.5,1,0.2735835714285714,0.08889731598081024,0.47962587344102087,0,0,0
956,5078.0,1,0.29762357142857143,0.08768750523454162,0.4878054629644868,0,0,0
957,5078.5,1,0.2925942857142857,0.0802137627292111,0.5483666607089338,0,0,0
958,5079.0,1,0.2875707142857143,0.08778945450959486,0.4993941847875089,0,0,0
959,5079.5,1,0.306785,0.09034171783582093,0.49090555900267085,0,0,0
960,5080.0,1,0.34017285714285717,0.07621990206823032,0.5390715232094621,0,0,0
961,5080.5,1,0.4064928571428572,0.08158556535181238,0.5073153195357831,0,0,0
962,5081.0,1,0.38656999999999997,0.0872624058208955,0.6420205690690012,0,0,0
963,5081.5,1,0.3638828571428572,0.08796962699360342,0.6440549164198145,0,0,0
964,5082.0,1,0.2689564285714286,0.10457704491471215,0.5423347640744063,0,0,0
965,5082.5,1,0.2683107142857143,0.10042529898720685,0.563303833303351,0,0,0
966,5083.0,1,0.30517642857142857,0.0969830559594883,0.5235180761824454,0,0,0
967,5083.5,1,0.37844714285714287,0.08284865823027723,0.5159415905637219,0,0,0
968,5084.0,1,0.4619892857142857,0.058696642803837976,0.5962437017165837,0,0,0
969,5084.5,0,0.5016907142857143,0.04689298487012982,0.8129463796985508,0,0,0
970,5085.0,0,0.5365228571428572,0.04587355402597399,0.8048178227407693,0,0,0
971,5085.5,0,0.49282642857142855,0.060387979891774926,0.6651189407754977,0,0,0
972,5086.0,1,0.44745357142857145,0.07193791732409377,0.622042049080243,0,0,0
973,5086.5,1,0.4182928571428572,0.0719807981876333,0.7025702781038964,0,0,0
974,5087.0,1,0.36780857142857143,0.08367426486140726,0.6350104775460611,0,0,0
975,5087.5,1,0.32440642857142854,0.07885913670575692,0.6693086715657239,0,0,0
976,5088.0,1,0.25280214285714286,0.07878303561833691,0.5505262729040612,0,0,0
977,5088.5,1,0.21871357142857142,0.07309959523454156,0.4909184389935001,0,0,0
978,5089.0,1,0.20610785714285715,0.06846472512793181,0.48418945981807254,0,0,0
979,5089.5,1,0.2316907142857143,0.07592605212153514,0.4971372163504665,0,0,0
980,5090.0,1,0.3500857142857143,0.06756166353944566,0.6126051861341872,0,0,0
981,5090.5,1,0.37549928571428576,0.06360766026652453,0.7678988618787023,0,0,0
